Modèle,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9933333333333333,0.995,0.995,0.995
KNN,0.9833333333333333,0.9850746268656716,0.99,0.9875311720698254
Decision Tree,0.9833333333333333,0.9899497487437185,0.985,0.9874686716791979
Random Forest,0.99,0.9900497512437811,0.995,0.9925187032418953
Bagging,0.9833333333333333,0.9899497487437185,0.985,0.9874686716791979
AdaBoost,0.9866666666666667,0.99,0.99,0.99
Gradient Boosting,0.98,0.985,0.985,0.985
